,LOCATION,PRICE,TYPE_OF_PROPERTY,POOL,GARAGE,DATE,BEDROOM,SQM
114,BALZAN,245000.0,maisonette,No,Yes,2015,4,200.0
115,BALZAN,,house,No,Yes,2015,3,
116,BALZAN,,apartment,No,Yes,2015,3,
117,BALZAN,177000.0,house,No,No,2015,2,
118,BALZAN,145000.0,apartment,No,Yes,2015,2,
119,BALZAN,2750000.0,,No,No,2015,,
120,BALZAN,38000.0,,No,Yes,2015,,
121,BALZAN,168000.0,house,No,No,2015,,
122,BALZAN,127000.0,house,No,No,2015,1,
123,BIRGUMA,225000.0,house,No,Yes,2015,,160.0
124,BIRGUMA,143000.0,apartment,No,Yes,2015,2,
125,BIRGUMA,235000.0,house,No,No,2015,3,60.0
126,BIRKIRKARA ,,maisonette,No,Yes,2015,,
127,BIRKIRKARA,120000.0,apartment,No,No,2015,3,
128,BIRKIRKARA,245000.0,maisonette,No,Yes,2015,3,
129,BIRKIRKARA,163000.0,house,No,No,2015,3,
130,BIRKIRKARA,98000.0,maisonette,No,No,2015,2,
131,BIRKIRKARA,177000.0,maisonette,No,No,2015,4,230.0
132,BIRKIRKARA,100000.0,apartment,No,No,2015,,
133,BIRKIRKARA,138000.0,maisonette,No,No,2015,,
134,BIRKIRKARA,127000.0,,No,Yes,2015,,
135,BIRKIRKARA,128000.0,house,No,No,2015,3,
136,BIRKIRKARA,129000.0,maisonette,No,Yes,2015,2,
137,BIRKIRKARA,112000.0,maisonette,No,Yes,2015,3,
138,BIRKIRKARA,315000.0,house,No,No,2015,3,
139,BIRKIRKARA,65000.0,apartment,No,No,2015,2,
140,BIRKIRKARA,185000.0,maisonette,No,Yes,2015,3,
141,BIRKIRKARA,98000.0,,No,No,2015,3,
142,BIRKIRKARA,112000.0,maisonette,No,No,2015,2,
143,BIRKIRKARA,108000.0,house,No,No,2015,,
144,BIRKIRKARA,70000.0,house,No,No,2015,3,
145,BIRŻEBBUĠA,85000.0,apartment,No,No,2015,2,
146,BIRŻEBBUĠA,95000.0,apartment,No,No,2015,2,
147,BIRŻEBBUĠA,93000.0,maisonette,No,No,2015,2,
148,BIRŻEBBUĠA,210000.0,house,No,Yes,2015,4,
149,BIRŻEBBUĠA,150000.0,house,No,No,2015,,
150,BUĠIBBA,79000.0,apartment,No,No,2015,2,
151,BUĠIBBA,115000.0,apartment,No,No,2015,,
152,BUĠIBBA,95000.0,apartment,No,No,2015,2,
153,BUĠIBBA,114000.0,,No,No,2015,3,
154,BUĠIBBA,,,No,No,2015,3,
155,BUĠIBBA,110000.0,apartment,No,No,2015,3,
156,COSPICUA ,51000.0,apartment,No,No,2015,1,
157,COSPICUA ,280000.0,,No,No,2015,,
158,COSPICUA ,275000.0,house,No,No,2015,,
159,COSPICUA ,75000.0,maisonette,No,No,2015,,
160,DINGLI,370000.0,house,No,No,2015,,
161,DINGLI,,house,No,No,2015,,260.0
162,DINGLI,146000.0,maisonette,No,No,2015,3,
163,DINGLI,180000.0,house,No,No,2015,3,
164,FGURA ,256500.0,,No,No,2015,,
165,FGURA,90000.0,apartment,No,No,2015,,
166,FGURA,125000.0,house,No,No,2015,3,
167,FGURA,115000.0,apartment,No,No,2015,4,200.0
168,FGURA,90000.0,apartment,No,No,2015,3,
169,FGURA,115000.0,apartment,No,No,2015,3,
170,FGURA,90000.0,apartment,No,No,2015,2,
171,FGURA,150000.0,maisonette,No,No,2015,,
172,FGURA,130000.0,maisonette,No,No,2015,3,
173,FGURA,105000.0,apartment,No,No,2015,3,
174,FGURA,168000.0,house,No,No,2015,,163.0
175,FGURA,129000.0,house,No,No,2015,3,
176,FGURA,63000.0,apartment,No,No,2015,3,
177,FGURA,200000.0,house,No,No,2015,,
178,FLEUR-DE-LYS,127000.0,apartment,No,No,2015,2,
179,FLEUR-DE-LYS,185000.0,house,No,No,2015,,
180,FORT CAMBRIDGE,518000.0,apartment,No,No,2015,3,
181,GĦARGĦUR,180000.0,apartment,No,No,2015,3,155.0
