,LOCATION,PRICE,TYPE_OF_PROPERTY,POOL,GARAGE,DATE,BEDROOM,SQM
107,BIRŻEBBUĠA,85000.0,apartment,No,No,2015,2,
108,BIRŻEBBUĠA,95000.0,apartment,No,No,2015,2,
109,BIRŻEBBUĠA,93000.0,maisonette,No,No,2015,2,
110,BIRŻEBBUĠA,210000.0,house,No,Yes,2015,4,
111,BIRŻEBBUĠA,150000.0,house,No,No,2015,3,
112,BUĠIBBA,79000.0,apartment,No,No,2015,2,
113,BUĠIBBA,115000.0,apartment,No,No,2015,3,
114,BUĠIBBA,95000.0,apartment,No,No,2015,2,
115,BUĠIBBA,110000.0,apartment,No,No,2015,3,
116,COSPICUA,51000.0,apartment,No,No,2015,1,
117,COSPICUA,275000.0,house,No,No,2015,3,
118,COSPICUA,75000.0,maisonette,No,No,2015,3,
119,DINGLI,370000.0,house,No,No,2015,3,
120,DINGLI,146000.0,maisonette,No,No,2015,3,
121,DINGLI,180000.0,house,No,No,2015,3,
122,FGURA,90000.0,apartment,No,No,2015,3,
123,FGURA,125000.0,house,No,No,2015,3,
124,FGURA,115000.0,apartment,No,No,2015,4,200.0
125,FGURA,90000.0,apartment,No,No,2015,3,
126,FGURA,115000.0,apartment,No,No,2015,3,
127,FGURA,90000.0,apartment,No,No,2015,2,
128,FGURA,150000.0,maisonette,No,No,2015,3,
129,FGURA,130000.0,maisonette,No,No,2015,3,
130,FGURA,105000.0,apartment,No,No,2015,3,
131,FGURA,168000.0,house,No,No,2015,3,163.0
132,FGURA,129000.0,house,No,No,2015,3,
133,FGURA,63000.0,apartment,No,No,2015,3,
134,FGURA,200000.0,house,No,No,2015,3,
135,FORT CAMBRIDGE,518000.0,apartment,No,No,2015,3,
136,GĦARGĦUR,180000.0,apartment,No,No,2015,3,155.0
137,GĦARGĦUR,173000.0,house,No,No,2015,3,
138,GĦARGĦUR,150000.0,apartment,No,No,2015,3,
139,GĦARGĦUR,200000.0,house,No,No,2015,3,
140,GĦARGĦUR,195000.0,apartment,No,No,2015,3,
141,GĦAXAQ,995000.0,house,Yes,No,2015,3,
142,GĦAXAQ,97000.0,house,No,No,2015,2,
143,GOZO,258000.0,house,Yes,No,2015,2,
144,GOZO,70000.0,apartment,No,No,2015,3,
145,GOZO,80000.0,apartment,No,No,2015,2,
146,GOZO,80000.0,apartment,No,No,2015,3,
147,GOZO,170000.0,apartment,No,No,2015,3,
148,GOZO,450000.0,house,Yes,No,2015,4,
149,GOZO,110000.0,apartment,No,No,2015,3,
150,GOZO,155000.0,maisonette,No,Yes,2015,3,
151,GOZO,189000.0,apartment,No,No,2015,3,
152,GOZO,110000.0,apartment,No,No,2015,3,
153,GOZO,174000.0,apartment,Yes,Yes,2015,2,
154,GOZO,580000.0,house,Yes,No,2015,5,
155,GOZO,72000.0,apartment,No,No,2015,3,
156,GOZO,245000.0,house,No,No,2015,3,
157,GOZO,86000.0,apartment,No,No,2015,3,
158,GOZO,123000.0,apartment,No,No,2015,3,
159,GOZO,375000.0,house,Yes,Yes,2015,4,
160,GOZO,250000.0,maisonette,No,No,2015,3,
161,GOZO,180000.0,house,Yes,Yes,2015,3,
162,GOZO,190000.0,house,Yes,No,2015,3,
163,GOZO,77000.0,maisonette,No,No,2015,2,
164,GOZO,350000.0,apartment,No,No,2015,3,
165,GOZO,149500.0,apartment,No,No,2015,3,
166,GOZO,360000.0,apartment,No,No,2015,2,
167,GOZO,169000.0,apartment,No,No,2015,2,
168,GOZO,218000.0,apartment,Yes,No,2015,3,
169,GOZO,255000.0,house,No,No,2015,3,
170,GOZO,85000.0,apartment,No,No,2015,3,
171,GOZO,60000.0,house,No,No,2015,3,
172,GOZO,195000.0,apartment,No,Yes,2015,3,
173,GUARDAMANGIA,101000.0,apartment,No,No,2015,2,
174,GUARDAMANGIA,115000.0,house,No,No,2015,2,
175,GUDJA,105000.0,apartment,No,No,2015,3,
176,GUDJA,87500.0,apartment,No,No,2015,3,
177,GUDJA,295000.0,house,No,Yes,2015,3,
178,GŻIRA,218000.0,house,No,No,2015,3,
179,GŻIRA,129000.0,apartment,No,No,2015,3,
180,GŻIRA,196000.0,apartment,No,Yes,2015,3,
181,GŻIRA,230000.0,house,No,No,2015,3,220.0
182,GŻIRA,245000.0,apartment,No,No,2015,2,
183,ĦAMRUN,180000.0,house,No,No,2015,3,
184,ĦAMRUN,95700.0,apartment,No,No,2015,3,
185,IKLIN,170000.0,apartment,No,No,2015,3,
186,KALKARA,264750.0,house,No,Yes,2015,3,
187,KALKARA,185000.0,house,No,Yes,2015,3,
188,KAPPARA,650000.0,villa,Yes,Yes,2015,4,
189,KAPPARA,485000.0,villa,Yes,Yes,2015,3,
190,KAPPARA,485000.0,villa,Yes,No,2015,3,
191,KIRKOP,328000.0,house,No,No,2015,3,
192,KIRKOP,114000.0,maisonette,No,No,2015,3,
193,KIRKOP,99000.0,house,No,No,2015,1,
194,LIJA,275000.0,house,No,Yes,2015,3,
195,LIJA,475000.0,villa,No,Yes,2015,3,
196,LIJA,198000.0,house,No,Yes,2015,3,
197,LIJA,189000.0,maisonette,No,Yes,2015,3,
198,LIJA,172000.0,apartment,No,No,2015,3,
199,LUQA,320000.0,house,Yes,No,2015,3,
200,MADLIENA,299500.0,apartment,No,Yes,2015,3,145.0
201,MADLIENA,940000.0,villa,No,No,2015,3,400.0
202,MADLIENA,262000.0,apartment,No,No,2015,3,160.0
203,MANIKATA,152000.0,apartment,No,No,2015,3,
204,MANIKATA,730000.0,villa,Yes,Yes,2015,3,
205,MANIKATA,310000.0,house,No,Yes,2015,3,
206,MARSA,60000.0,maisonette,No,No,2015,3,
207,MARSASCALA,111000.0,maisonette,No,No,2015,2,
208,MARSASCALA,97000.0,house,No,No,2015,3,
209,MARSASCALA,70000.0,apartment,No,No,2015,1,
210,MARSASCALA,95000.0,apartment,No,No,2015,2,
211,MARSASCALA,125000.0,apartment,No,No,2015,3,
212,MARSASCALA,385000.0,house,No,Yes,2015,3,
213,MARSASCALA,98000.0,apartment,No,No,2015,3,
214,MARSASCALA,197000.0,apartment,Yes,No,2015,3,
215,MARSASCALA,170000.0,maisonette,No,Yes,2015,3,
216,MARSASCALA,135500.0,maisonette,No,No,2015,3,
217,MARSASCALA,75000.0,apartment,No,No,2015,2,
218,MARSASCALA,225000.0,maisonette,No,Yes,2015,3,
219,MARSASCALA,135000.0,apartment,No,Yes,2015,3,
220,MARSASCALA,348500.0,house,No,Yes,2015,3,160.0
221,MARSASCALA,93700.0,house,No,No,2015,2,
222,MARSASCALA,64000.0,apartment,No,No,2015,1,
223,MARSASCALA,148000.0,house,No,Yes,2015,3,
224,MARSASCALA,198000.0,maisonette,No,No,2015,3,
225,MARSASCALA,235000.0,apartment,No,No,2015,2,
226,MARSASCALA,281500.0,house,No,Yes,2015,3,
227,MARSASCALA,123500.0,apartment,No,No,2015,3,
228,MARSASCALA,150000.0,house,No,No,2015,3,
229,MARSASCALA,240000.0,house,No,Yes,2015,3,
230,MARSAXLOKK,220000.0,maisonette,No,Yes,2015,3,
231,MARSAXLOKK,118000.0,apartment,No,No,2015,3,
232,MELLIEĦA,234000.0,maisonette,No,Yes,2015,3,
233,MELLIEĦA,395000.0,house,No,Yes,2015,3,
234,MELLIEĦA,650000.0,apartment,Yes,Yes,2015,3,
235,MELLIEĦA,117000.0,apartment,No,No,2015,2,
236,MELLIEĦA,285000.0,apartment,No,No,2015,3,
237,MELLIEĦA,148000.0,apartment,No,No,2015,3,
238,MELLIEĦA,365000.0,house,No,Yes,2015,3,
239,MELLIEĦA,180000.0,maisonette,No,Yes,2015,3,
240,MELLIEĦA,142000.0,apartment,No,No,2015,3,50.0
241,MELLIEĦA,280000.0,house,No,No,2015,3,
242,MELLIEĦA,155000.0,maisonette,No,No,2015,3,145.0
243,MELLIEĦA,210000.0,maisonette,No,No,2015,3,
244,MELLIEĦA,240000.0,maisonette,No,Yes,2015,3,
245,MELLIEĦA,135000.0,house,No,No,2015,3,
